mu,sigma,empError,accuracy
0.001000,0.001000,0.500345,0.440000
0.001000,0.100000,0.507241,0.480000
0.001000,10.000000,0.497931,0.540000
0.001000,1000.000000,0.458276,0.600000
0.100000,0.001000,0.490690,0.530000
0.100000,0.100000,0.505862,0.530000
0.100000,10.000000,0.486552,0.640000
0.100000,1000.000000,0.490690,0.530000
10.000000,0.001000,0.488966,0.490000
10.000000,0.100000,0.479655,0.540000
10.000000,10.000000,0.457931,0.600000
10.000000,1000.000000,0.490690,0.530000
1000.000000,0.001000,0.490690,0.530000
1000.000000,0.100000,0.459310,0.620000
1000.000000,10.000000,0.490690,0.530000
1000.000000,1000.000000,0.490690,0.530000
0.100000,10.000000,0.469778,0.548000
