mu,sigma,empError,accuracy
1.000000,10.000000,0.474000,0.532000
1.000000,100.000000,0.332444,0.706000
1.000000,1000.000000,0.283111,0.728000
1.000000,10000.000000,0.442444,0.574000
1.000000,100000.000000,0.477556,0.516000
1.000000,1000000.000000,0.485556,0.520000
10.000000,10.000000,0.485556,0.520000
10.000000,100.000000,0.352000,0.690000
10.000000,1000.000000,0.361111,0.664000
10.000000,10000.000000,0.478222,0.502000
10.000000,100000.000000,0.479556,0.518000
10.000000,1000000.000000,0.485556,0.520000
100.000000,10.000000,0.485556,0.520000
100.000000,100.000000,0.473333,0.482000
100.000000,1000.000000,0.475333,0.496000
100.000000,10000.000000,0.482444,0.500000
100.000000,100000.000000,0.485556,0.520000
100.000000,1000000.000000,0.485556,0.520000
1000.000000,10.000000,0.485556,0.520000
1000.000000,100.000000,0.482222,0.484000
1000.000000,1000.000000,0.476444,0.476000
1000.000000,10000.000000,0.485556,0.520000
1000.000000,100000.000000,0.485556,0.520000
1000.000000,1000000.000000,0.485556,0.520000
10000.000000,10.000000,0.485556,0.520000
10000.000000,100.000000,0.485556,0.520000
10000.000000,1000.000000,0.485556,0.520000
10000.000000,10000.000000,0.485556,0.520000
10000.000000,100000.000000,0.485556,0.520000
10000.000000,1000000.000000,0.485556,0.520000
100000.000000,10.000000,0.485556,0.520000
100000.000000,100.000000,0.485556,0.520000
100000.000000,1000.000000,0.485556,0.520000
100000.000000,10000.000000,0.485556,0.520000
100000.000000,100000.000000,0.485556,0.520000
100000.000000,1000000.000000,0.485556,0.520000
1000000.000000,10.000000,0.485556,0.520000
1000000.000000,100.000000,0.485556,0.520000
1000000.000000,1000.000000,0.485556,0.520000
1000000.000000,10000.000000,0.485556,0.520000
1000000.000000,100000.000000,0.485556,0.520000
1000000.000000,1000000.000000,0.485556,0.520000
1000000.000000,1000000.000000,0.480222,0.532000
