mu,sigma,accuracy,empError
10.000000,10.000000,0.790000,0.200222
10.000000,100.000000,0.786000,0.196889
10.000000,1000.000000,0.536000,0.478444
10.000000,10000.000000,0.536000,0.478444
100.000000,10.000000,0.714000,0.252222
100.000000,100.000000,0.692000,0.263111
100.000000,1000.000000,0.536000,0.478444
100.000000,10000.000000,0.536000,0.478444
1000.000000,10.000000,0.538000,0.479556
1000.000000,100.000000,0.536000,0.478444
1000.000000,1000.000000,0.536000,0.478444
1000.000000,10000.000000,0.536000,0.478444
10000.000000,10.000000,0.536000,0.478444
10000.000000,100.000000,0.536000,0.478444
10000.000000,1000.000000,0.536000,0.478444
10000.000000,10000.000000,0.536000,0.478444
